"Category.ID"	"Lo.95"	"Hi.95"	"Actual"	"Flag"
74	129	225	93	1
405	154	368	106	1
406	339	780	247	1
408	860	1882	563	1
410	18	55	9	1
413	24	67	11	1
414	210	475	136	1
433	756	1581	489	1
437	878	1900	605	1
439	350	819	236	1
443	88	246	64	1
447	34	69	24	1
452	190	451	132	1
453	615	1255	397	1
454	90	176	67	1
461	36	74	25	1
466	250	569	167	1
467	57	123	35	1
473	111	304	67	1
479	309	703	202	1
516	41	75	27	1
531	3	11	5	2
565	52	109	38	1
611	52	85	38	1
717	53	106	29	1
757	89	157	48	1
761	2	7	5	2
988	2	12	1	2
996	-2	8	2	2
7011	398	573	276	1
7013	2	7	4	2
